original	call_entry	net	correct_mean	correct_cnt	fake_always_1	fake_always_3	fake_always_5	fake_correct	fake_correct_1v5	1000	1001	1002	1004	1005	1006	1007	1009	1010	1011	1012	1013	1014	984	986	987	988	992	993	994	995	996	997	998
sample15_c38cd5c611532af5e79ed0958c415880.ogg	1012	loss22-0 + rate23kbit	2.5714285714286	7	1	3	5	2.5714285714286	1	1	3.9302044509202	1.758	3.113575	1.196	2.036	2.3	2.048	2.3	1	3.08044	1	1.3	1.0527	1.45972	1.88	1	4.37	1.3788	2.44455	4.19049	2.8183	2.99315	1.1045
sample05_44823b5704b026f2930ad862576bef3c.ogg	1002	loss25-0 + rate29kbit	5.6666666666667	6	1	3	5	5.6666666666667	5	1	4.5705926566035	2.509	3.837907	1.482	4.32	2.7	2.325	2.8	1	4.55867	3.95282	1.628	1.3142	1.994489	2.732	3.083115	4.67	2.59481	4.38017	2.05919	2.6776	3.9573	2.8037
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	1011	loss30-0 + rate14kbit	0.85714285714286	7	1	3	5	0.85714285714286	1	1	3.3019400374148	2.006	1	1.645	3.651	2.3	1.79	2	1	0	1	1.272	1.2769	2.259093	2.094	1	1.55	4.11699	2.63989	2.27793	3.0428	1	4.7074
sample05_e181863bce6738bace6841b174713716.ogg	1014	loss13-0 + rate44kbit	4.4285714285714	7	1	3	5	4.4285714285714	5	1		2.585	3.361841	1.619	4.302	2.7	2.641	3.47	1	3.88267	5	1.845	1.6837	2.33169	2.451	1	2.9	3.95001	3.95249	2.31738	5	2.349	4.9999
sample16_28b7af27b8464f83f547e385893de318.ogg	1000	loss30-0 + rate14kbit	1.1666666666667	6	1	3	5	1.1666666666667	1	1	1.9126335440004	1.681	1.470213	1.231	2.054	2.3	1.8	1.91	1	3.12479	1	1.201	1.0573	1.411411	1.829	1		3.55982	2.54909	1.6963	4.4128	1.87444	3.3049
sample15_1a7df29173d06cd4119ea338d1e8e05c.ogg	1000	loss30-0 + delay400-50	1.7878787878788	33	1	3	5	1.7878787878788	1	1	1.4185172302915	2.548	3.026656	1.472	3.442	2.7	2.396	3	1	4.40283	3.98151	1.612	1.1637	2.160157	2.428	2.324982		3.51902	3.21848	3.13116	4.7888	3.53404	3.8604
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	1002	loss25-0 + rate25kbit	1.9333333333333	15	1	3	5	1.9333333333333	1	1	1.1238899790494	1.89	2.652026	1.251	3.906	2.3	1.813	2	1	3.85843	2.77792	1.277	1.199	1.563369	1.932	2.17662		3.56172	3.77514	1.92898	5	2.60004	5
sample06_43af06b41db225c41a659da60408148a.ogg	1009	loss30-0 + rate17kbit	0.71428571428571	7	1	3	5	0.71428571428571	1	1	3.8189909846296	1.205	1	1.131	2.176	1.7	1.154	2.4	1	0	1	1.102	1.0412	1.23796	1.731	1	1.44	2.51773	2.50785	1.36217	1	1	2.7077
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	992	loss90-0 + delay700-10	0	7	1	3	5	0	1	1	1.4676354197385	1	3.444369	1.141	2.744	1.7	1.065	1.2	1	0	1	1.056	1.0383	1.17037	1.634	1		3.53602	2.69676	1.65768	5	1	
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	1013	loss30-0 + rate14kbit	1	7	1	3	5	1	1	1	3.6694679498604	1.456	1.283027	1.166	1	2.3	1.592	1.247	1	2.9928	1	1.158	1.0438	1.336577	1.764	1	3.32	1.74122	2.51027	1.52592	1	1.84607	2.1299
sample05_44823b5704b026f2930ad862576bef3c.ogg	988	loss17-0 + rate24kbit	2.6666666666667	6	1	3	5	2.6666666666667	1	1	3.3423787598098	1.371	2.715309	1.164	2.292	2.3	1.368	2	1	2.74311	1	1.196	1.0468	1.335664	1.723	1	3.63	1	3.02611	1.42579	2.9793	2.10112	4.8313
sample06_afb5f1ecdd37621d1be77b20691fefd8.ogg	1001	loss25-0 + rate29kbit	2.8571428571429	7	1	3	5	2.8571428571429	1	1	3.8892837384817	1.945	1	1.322	3.277	2.3	1.964	2.4	1	4.85314	1.11508	1.325	1.1784	1.520086	1.96	1.761612	3.6	1	3.9795	1.70541	1	3.05683	5
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	1012	loss30-0 + rate17kbit	1	7	1	3	5	1	1	1	3.7881071159082	1	1	1.104	1	1.7	0.745	1.5	1	0.138295	1	1.064	1.0324	1.100396	1.616	1	4.54	1.62115	2.45303	1.2515	1	1.88173	3.3031
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	1013	loss80-0 + delay600-10	0.71428571428571	7	1	3	5	0.71428571428571	1	1	1.737919430763	1	2.421124	1.155	3.231	1.7	1.33	2.4	1	0.474286	1.10879	1.064	1.0843	1.158149	1.649	1	1.89	2.16469	2.37857	1.29769	1	1	1
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	998	loss13-0 + rate44kbit	3.7142857142857	7	1	3	5	3.7142857142857	5	1.84109	3.9041466216017	2.248	1.1062	1.301	2.406	2.7	1.908	2.82	1	4.21871	2.91532	1.368	1.1536	1.736085	2.08	3.182236	4.81	2.4604	3.44885	2.00045	1	3.50006	5
sample15_c38cd5c611532af5e79ed0958c415880.ogg	1001	loss40-0 + rate16kbit	1.35	20	1	3	5	1.35	1	1	3.0003036941418	1.715	1	1.213	1.867	2.3	1.82	1.1	4	3.23588	1	1.255	1.3418	1.575314	1.844	1	2.4	1.59353	2.57412	1.97521	2.8317	1.63745	3.7915
sample05_f8498e0018ea93b1158ec6fec09b23e5.ogg	996	loss25-0 + rate25kbit	1.6666666666667	6	1	3	5	1.6666666666667	1	1	3.6039768994735	1.457	1	1.391	4.484	2.3	1.929	2.6	1	3.82208	2.96293	1.227	1.1918	1.470047	1.876	2.291031	3.62	3.30299	3.32739	2.07614	3.2621	2.63175	5
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	993	loss30-0 + delay400-50	2	7	1	3	5	2	1	2.22243	3.3142994551821	1.764	3.462906	1.231	2.705	2.3	1.926	2.3	1	2.86228	1.45982	1.318	1.1448	1.378266	1.858	2.062958	4.15	1	3.51132	1.84315	2.3951	3.20923	4.1342
sample05_0bb3646f15e8dc61f525f40f2884de57.ogg	1011	loss10-0 + rate64kbit	5	8	1	3	5	5	5	3.6748	3.8835902564143	3.058	1	1.831	3.265	3.3	2.686	4.8	1	4.50346	4.91165	2.153	1.3503	2.814509	2.915	3.21788	4.78	4.62786	4.74302	2.27953	2.3439	4.17351	5
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1002	loss13-0 + rate44kbit	4.4285714285714	7	1	3	5	4.4285714285714	5	3.06505	1.5943202252058	2.839	3.999692	1.713	4.128	3.3	2.686	2.8	1	4.66656	5	1.904	1.4131	2.521682	2.691	3.103226		4.29627	4.17804	2.90324	5	4.26462	4.2818
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1011	loss22-0 + rate23kbit	2.5	6	1	3	5	2.5	1	1	1.7599279511386	2.076	2.908726	1.329	2.358	2.7	2.119	2.6	1	4.4137	3.33714	1.412	1.1031	1.7742	2.076	1		3.32974	3.06178	2.55506	5	3.16998	1.3462
sample06_afb5f1ecdd37621d1be77b20691fefd8.ogg	1000	loss30-0 + delay400-50	1.906976744186	43	1	3	5	1.906976744186	1	3.20953	3.8480043565363	1.717	1	1.251	3.277	2.3	1.782	2.3	1	4.3214	2.04855	1.22	1.0541	1.418298	1.83	2.804825	4.02	1	3.42049	1.67472	1	3.27729	4.9306
sample17_0d1f6a407f028a451f3a6a90098a9300.ogg	1001	loss30-0 + delay400-50	2.5	18	1	3	5	2.5	1	1	3.0769854029094	2.357	1	1.388	3.25	2.7	2.232	2.82	1	4.42786	2.35082	1.445	1.1757	1.894118	2.219	3.311691	4.22	2.37378	2.71512	2.33371	1	3.18419	5
sample15_1a7df29173d06cd4119ea338d1e8e05c.ogg	1000	loss10-0 + rate64kbit	4.1944444444444	36	1	3	5	4.1944444444444	5	4.45969	1.3638036245153	3.005	3.414352	2.043	4.784	3.3	2.876	4.8	1	4.89481	5	2.196	1.9624	2.801269	2.961	4.049469		4.54421	4.64061	3.43859	5	4.45767	5
sample05_44823b5704b026f2930ad862576bef3c.ogg	1014	loss13-0 + rate44kbit	4	7	1	3	5	4	5	1		2.592	1.313751	1.731	4.081	2.7	2.498	2	1	4.06205	4.12895	1.83	1.3861	2.10737	2.709	3.234665	3.33	1.66224	4.63867	2.37706	4.846	2.01105	5
sample16_28b7af27b8464f83f547e385893de318.ogg	1000	loss25-0 + rate29kbit	3.8333333333333	6	1	3	5	3.8333333333333	5	1	1.7083351183858	2.091	3.481534	1.266	2.479	2.3	2.044	2.82	1	4.27316	1	1.351	1.1613	1.719498	1.986	2.802292		3.64151	2.8677	1.9568	4.3291	3.42263	5
sample05_ff63f34c691af48ef285649054ab4906.ogg	1010	default	6	9	1	3	5	6	5	4.31045	1.9949154959409	4.427	2.714022	3.913	4.936	4.3	4.036	4.2	5	4.99835	5	3.951	2.6531	4.526543	4.864	4.513962	4.88	4.88609	5	4.29225	4.7416	4.72932	5
sample17_350b04a3821a66a8bcd78a15588c8191.ogg	992	loss13-0 + rate44kbit	4.5714285714286	7	1	3	5	4.5714285714286	5	2.98228	4.4199836600929	2.434	1	1.499	3.62	2.7	2.418	2.6	1	4.69482	3.49459	1.572	1.2971	1.941002	2.231	3.006409	3.89	1.79174	4.12829	2.78144	1	3.26511	4.3105
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	998	loss13-0 + rate48kbit	3.8571428571429	7	1	3	5	3.8571428571429	5	1	3.986124587315	2.379	3.159002	1.439	4.713	2.7	2.418	3.08	1	4.35164	3.48537	1.53	1.2184	2.013292	2.236	1.112221	4.46	4.47626	5	2.26534	2.9594	3.96665	
sample15_c38cd5c611532af5e79ed0958c415880.ogg	988	loss25-0 + rate29kbit	3.8571428571429	7	1	3	5	3.8571428571429	5	1	4.3719173880757	2.261	4.69222	1.301	3.692	2.7	2.226	2.6	1	4.5537	3.28744	1.495	1.2058	1.768282	2.193	1	4.79	2.29974	3.58345	2.0513	2.931	3.92649	2.9309
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	1011	default	5.8333333333333	6	1	3	5	5.8333333333333	5	4.1334	1.2600269864687	4.357	3.468579	4.126	4.671	4.3	3.801	5	1	5	4.36865	3.963	3.6412	4.607256	5	4.529739		4.75932	5	3.99958	5	4.83946	3.0106
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	998	loss17-0 + rate28kbit	2.3333333333333	6	1	3	5	2.3333333333333	1	1	3.8133568996164	1.68	1	1.192	2.761	2.3	1.689	2.82	1	4.18072	1.08734	1.188	1.0944	1.379021	1.828	1.031876	4.49	3.12015	2.93734	1.5827	1	3.21295	2.8719
sample05_44823b5704b026f2930ad862576bef3c.ogg	992	loss17-0 + rate24kbit	1.5714285714286	7	1	3	5	1.5714285714286	1	1	3.4004601118983	1.377	1.353387	1.21	2.061	2.3	1.587	2	1	1.08401	1	1.198	1.1031	1.323467	1.744	1.287613	3.11	1.2335	3.05712	1.59562	4.7984	1.97321	2.1622
sample15_c38cd5c611532af5e79ed0958c415880.ogg	1002	loss25-0 + delay500-50	3.1428571428571	7	1	3	5	3.1428571428571	5	1	5.190943789662	2.458	4.794378	1.353	2.445	2.7	2.394	2.6	1	4.02415	2.45839	1.603	1.1271	1.895097	2.349	3.304382	4.87	1.89913	2.7274	2.63807	2.9395	3.58333	2.7741
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	1013	loss17-0 + rate24kbit	3.1666666666667	6	1	3	5	3.1666666666667	5	1	3.7857316366587	2.221	2.365149	1.328	4.187	2.7	2.11	2.235	1	3.63789	1	1.463	1.1024	1.805826	2.093	2.103294	3.48	4.21371	3.50484	1.53793	3.1784	3.39352	3.2309
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	1009	loss25-0 + delay500-50	1.6666666666667	6	1	3	5	1.6666666666667	1	3.03033	1.6339960242992	2.395	2.805441	1.334	2.199	2.7	2.154	2	1	1.63541	2.20613	1.546	1.1396	1.9935	2.151	3.080582		1.7939	3.06504	2.13092	1	3.53511	5
sample17_fd738975ea9a518e48680e3c33ee4c05.ogg	987	loss22-0 + rate19kbit	2.3333333333333	6	1	3	5	2.3333333333333	1	1	1.7047353805476	2.107	2.205435	1.299	1.978	2.3	1.869	1.65	1	3.27726	1	1.301	1.0386	1.769659	2.163	2.574837		1.72741	2.74501	1.98957	1	3.32929	
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	993	loss30-0 + rate14kbit	0.5	6	1	3	5	0.5	1	1	3.9336665659522	1.149	1.200694	1.141	1	1.7	1.322	1.1	1	0	1	1.102	1.1669	1.285837	1.644	1	2.14	1	3.35425	1.1934	2.4258	1	2.3866
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	987	loss30-0 + rate17kbit	1.1428571428571	7	1	3	5	1.1428571428571	1	1.10998	1.6497637529286	1	1	1.105	1	1.7	0.837	2.4	1	0.469242	1	1.06	2.6192	1.13571	1.64	1	2.65	1.54704	2.87382	1.19937	1	1.25727	4.6595
sample05_ff63f34c691af48ef285649054ab4906.ogg	1013	default	5.8333333333333	6	1	3	5	5.8333333333333	5	4.22985	1.3359606135718	4.522	3.366629	3.787	4.916	4.3	3.97	5	1	4.97438	5	3.88	2.4697	4.470808	4.697	3.653809	4.86	4.76721	5	4.23121	4.7528	4.76344	2.4672
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	984	loss25-0 + delay500-50	3.1428571428571	7	1	3	5	3.1428571428571	5	1	1.9102490247229	1.874	4.068398	1.415	3.792	2.7	2.15	3.08	1	4.57094	3.64833	1.371	1.1659	1.610953	1.966	1	3.31	3.20137	3.2569	2.05133	4.8465	2.73387	5
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1014	loss17-0 + rate24kbit	2.8571428571429	7	1	3	5	2.8571428571429	1	1		2.174	1	1.516	3.543	2.7	2.238	2.3	1	3.89361	1	1.386	1.1423	1.786992	2.052	1		2.70049	2.63231	2.44248	2.6302	2.54739	4.7892
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1013	loss80-0 + delay600-10	1	7	1	3	5	1	1	1	3.3389725153909	1.673	1.74072	1.203	2.845	2.3	1.753	2	1	2.4309	1.82289	1.201	1.0881	1.413298	1.782	1	2.57	2.15844	2.39378	1.85352	2.8403	1.53274	2.1664
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	998	loss13-0 + rate44kbit	5	6	1	3	5	5	5	3.39037	1.3256330545411	2.049	3.708795	1.297	4.343	2.7	2.216	3.56	3.25	4.32269	3.58119	1.525	1.2219	1.771669	2.148	3.249695	3.83	4.22388	3.72465	2.2167	5	3.81921	5
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	1010	loss25-0 + delay500-50	3	6	1	3	5	3	5	2.7072	3.1514111187663	1.911	4.638429	1.256	3.432	2.3	1.892	2.6	1	3.47216	2.20714	1.295	1.0684	1.769748	1.949	3.152161	3.57	1.58835	3.98794	1.69183	2.3965	3.13156	2.4601
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	1001	loss25-0 + delay500-50	1.7142857142857	7	1	3	5	1.7142857142857	1	1	3.6689411729001	1.132	3.185064	1.211	4.465	2.3	1.553	2.9	1	2.45024	1	1.152	1.0422	1.242744	1.686	1.514	2.7	4.29961	2.49885	1.38443	3.1769	1.66506	3.1499
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	1013	loss13-0 + rate44kbit	3.6666666666667	6	1	3	5	3.6666666666667	5	3.90445	1.7887979128138	2.942	2.937535	1.698	3.354	3.3	2.714	3.8	1	4.22519	3.11906	2.084	1.378	2.676474	2.783	3.189209		3.13038	3.63554	2.1365	1	4.09941	5
